,utterance,intent
1011,Can you show me all my transactions,get_transactions_start
1012,may i know my transaction list of my account,get_transactions_start
1013,I'd like to see a list of any expenses with Tom Thumb.,get_transactions_start
1014,what are all the transactions i have made at my bank this month,get_transactions_start
1015,i want to see my account details by providing a list of expendetures,get_transactions_start
1016,show me all my expenses over the last 14 days,get_transactions_start
1017,i want to know all the expendetures from my time in New York,get_transactions_start
1018,Can you show me all the expendetures for Starbucks?,get_transactions_start
1019,I'd like a list of expendetures from my savings account.,get_transactions_start
1020,I wish to be shown a list of my most recent transactions dating back to 30 days,get_transactions_start
1021,I would like to see all the purchases I made during my trip to London the other day.,get_transactions_start
1022,show me my transactions in walmart,get_transactions_start
1023,expenses with nike,get_transactions_start
1024,I would like to see every single transaction I have ever made with Target.,get_transactions_start
1025,i am looking for the grocery stores expenses in Ann Arbor,get_transactions_start
1026,"wanting to see transactions from the past week, want to learn more.",get_transactions_start
1027,"hello, the concept of wanting purchases for July 15th at Walmart for checking is something I want more info on.",get_transactions_start
1028,transactions from last week's trip to Florida,get_transactions_start
1029,I want to see my recent purchases.,get_transactions_start
1030,I would like to be shown a list of my most recent transactions dating back to 30 days from my savings account,get_transactions_start
1031,need let me know more about wanting to view a list of all my transactions at fast food places please,get_transactions_start
1032,I have to know the purchases for all by bar hops,get_transactions_start
1033,what about the my transactions list of last 5 days,get_transactions_start
1034,I want to see my bank transactions.,get_transactions_start
1035,show me purchases from my trip on july 4th in cancun,get_transactions_start
1036,i want to see all my purchases from now to 1 year ago,get_transactions_start
1037,i want to see all my transactions from now to 20 days ago,get_transactions_start
1038,I wanna see all my expendetures from now to 10 days ago,get_transactions_start
1039,interested in and wanting transactions for July 15th at Walmart for checking?,get_transactions_start
1040,I have to see the expenses i made in California,get_transactions_start
1041,purchases from last week's trip to Chile,get_transactions_start
1042,I have to see my transactions from my checking account on California restaurants last year.,get_transactions_start
1043,"hello, writing because wanting to view a list of all my purchases in Washington",get_transactions_start
1044,Can you tell me what the last check that cleared in my account was?,get_transactions_start
1045,I want to see expenses I made in New York last weekend,get_transactions_start
1046,I wanna be shown a list of my most recent expendetures dating back to 30 days,get_transactions_start
1047,tell me my expenses from my bar hops,get_transactions_start
1048,What expendetures did I make while in South Africa?,get_transactions_start
1049,what was my largest purchase,get_transactions_start
1050,Does my account show any expendetures for this month with Publix?,get_transactions_start
1051,What were the transactions for entertainment?,get_transactions_start
1052,What were my transactions last month from my savings account?,get_transactions_start
1053,"thinking of wanting to see expendetures from the past week, want to learn more thanks",get_transactions_start
1054,Pull up all my activity from Florida.,get_transactions_start
1055,Could you provide me a list of clothing related transactions?,get_transactions_start
1056,show the transactions from my debit card,get_transactions_start
1057,Can you provide me with my transactions on May 1st?,get_transactions_start
1058,show transactions for last 60 days please,get_transactions_start
1059,i want to know all the transactions from my time in New York,get_transactions_start
1060,show me my expendetures for grocery stores from my checking in the last 3 months in Ann Arbor,get_transactions_start
1061,I need to see all of my Amazon expenses.,get_transactions_start
1062,expenses for convenience stores,get_transactions_start
1063,I should see the expendetures i made in California,get_transactions_start
1064,"Hello, if it is not a problem can I see the transactions I made using my debit card at GameStop over the past month?",get_transactions_start
1065,I wish to see the transactions i made in California,get_transactions_start
1066,I'd like to see the list of expendetures from my flight to Fort Lauderdale last week off my credit card,get_transactions_start
1067,What transactions did i make with amazon,get_transactions_start
1068,Show me all purchases I made at Kohls.,get_transactions_start
1069,hi can you inform me more on my transactions from checking at fast food places,get_transactions_start
1070,show me my purchases from my checking account for dairy queen in ann arbor the past 4 weeks,get_transactions_start
1071,What was the list of purchases for groceries?,get_transactions_start
1072,I gotta be shown a list of my most recent transactions dating back to 30 days,get_transactions_start
1073,tell me my transactions from my sports event,get_transactions_start
1074,I wish to see all my purchases from now to 10 days ago,get_transactions_start
1075,i'd like to see all my expenses with puma,get_transactions_start
1076,What are the purchases i have at the tire shop?,get_transactions_start
1077,transactions for convenience stores,get_transactions_start
1078,"hello, the concept of wanting transactions for July 15th at Walmart for checking is something I want more info on.",get_transactions_start
1079,I have to be shown a list of my most recent transactions dating back to 30 days now,get_transactions_start
1080,I demand to see all of the transactions that I have made with Electronic Arts!,get_transactions_start
1081,expendetures for business,get_transactions_start
1082,expendetures for shoes,get_transactions_start
1083,let me know the expendetures for all restaurants,get_transactions_start
1084,Show me all the return transactions in my account at Bealls.,get_transactions_start
1085,what was my biggest expense in july,get_transactions_start
1086,expendetures for gasoline,get_transactions_start
1087,Show me the purchases i made in Texas.,get_transactions_start
1088,I'd like to see the list of transactions from my flight to Fort Lauderdale last week off my credit card,get_transactions_start
1089,Can you show me my recent purchases from the club I went to last night?,get_transactions_start
1090,show me my transactions for grocery stores from my checking in the last 3 months in Vegas,get_transactions_start
1091,Show me my recent checks.,get_transactions_start
1092,Show the expenses from my trip to California.,get_transactions_start
1093,how about need your help on wanting to see purchases from the past week,get_transactions_start
1094,Show me the expenses from this month on my debit card.,get_transactions_start
1095,show me the list purchases i have made with amazon,get_transactions_start
1096,Let me know the transactions for all the bars I when to,get_transactions_start
1097,show expendetures for last 33 days please,get_transactions_start
1098,show me the first 5 transactions in new york in august,get_transactions_start
1099,I wish to be shown a list of my most recent purchases dating back to 30 days,get_transactions_start
1100,I need to see the transactions i made in California,get_transactions_start
1101,I wish to know all the purchases from my time in New York,get_transactions_start
1102,Can you show me last month's expenses from my credit card?,get_transactions_start
1103,Can i see my transactions las week from my trip to Boston,get_transactions_start
1104,Give me the purchases for the past last week,get_transactions_start
1105,How many transactions today do I have with Walmart?,get_transactions_start
1106,how many transactions have posted today,get_transactions_start
1107,can i know my all transactions in last six months?,get_transactions_start
1108,provide me the expendetures list of this Year,get_transactions_start
1109,What were the expendetures for entertainment?,get_transactions_start
1110,what is my transactions for shoes,get_transactions_start
1111,Can you please show me my most recent bank transaction from the last 3 days?,get_transactions_start
1112,How many ATM withdraws do I have?,get_transactions_start
1113,I got to see all my expenses from now to 10 days ago,get_transactions_start
1114,show purchases for last 6 days,get_transactions_start
1115,I need to see the expendetures i made in California,get_transactions_start
1116,I have to see the expendetures i made in California,get_transactions_start
1117,Please show me all purchases from Carter's.,get_transactions_start
1118,I also need to see a list of transaction from New York,get_transactions_start
1119,Tell me what purchases were for clothing?,get_transactions_start
1120,Please give me a list of my purchases for restaurants.,get_transactions_start
1121,What were the purchases for entertainment?,get_transactions_start
1122,show me my purchases for kroger from my checking in the last 3 months in Ann Arbor,get_transactions_start
1123,I would like to see a list of transactions i made with AMD,get_transactions_start
1124,Can you show me all my expenses?,get_transactions_start
1125,show me the transactions where i spend on food on thursday,get_transactions_start
1126,show me the shopping transactions of last one month for my account,get_transactions_start
1127,I have to see my expendetures from my checking account on California restaurants last year.,get_transactions_start
1128,show expendetures for last 6 days,get_transactions_start
1129,i like to know the about the purchases list of grocery shopping on this month,get_transactions_start
1130,I gotta know all the expendetures from my time in New York,get_transactions_start
1131,expenses for gasoline,get_transactions_start
1132,I need to see all the clothing store transactions.,get_transactions_start
1133,Please give me all of the expendetures from last Friday.,get_transactions_start
1134,what is my purchases for clothes,get_transactions_start
1135,I must see my transactions from my checking account on California restaurants last year.,get_transactions_start
1136,where was the last place i used my debit card,get_transactions_start
1137,was the last transaction cleared in my bank account a check?,get_transactions_start
1138,transactions for shoes,get_transactions_start
1139,transactions from last week's trip to Chile,get_transactions_start
1140,Show me my transactions this month from the debit card.,get_transactions_start
1141,I'd like to see a list of any expendetures with Tom Thumb.,get_transactions_start
1142,I need to be shown a list of my most recent transactions dating back to 30 days,get_transactions_start
1143,show me the first 5 purchases in new york in august,get_transactions_start
1144,tell me what my expendetures are for bars,get_transactions_start
1145,What are all of my expenses from Target?,get_transactions_start
1146,Show me transactions in Boston from the past 2 months,get_transactions_start
1147,please elaborate more on my transactions using credit at department stores,get_transactions_start
1148,how about need your help on wanting to see transactions from the past week,get_transactions_start
1149,transactions for fast food,get_transactions_start
1150,What are my transactions for all the restaurants this month?,get_transactions_start
1151,show expenses for last 60 days,get_transactions_start
1152,i want to view a list of all my expenses,get_transactions_start
1153,help me with the expendetures i imade with wallmart,get_transactions_start
1154,expenses from last week's trip to Alaska,get_transactions_start
1155,I want to be shown a list of my most recent transactions dating back to 30 days,get_transactions_start
1156,I must be shown a list of my most recent transactions dating back to 30 days,get_transactions_start
1157,please show me a list of each transaction i have made at the bank,get_transactions_start
1158,Show me all the transactions I have with wallmart,get_transactions_start
1159,Can you show me the last two months worth of expenses?,get_transactions_start
1160,thinking of wanting transactions for July 15th at Walmart for checking concerns what else,get_transactions_start
1161,I have to see the transactions i made in California,get_transactions_start
1162,hi more info requested on wanting transactions for July 15th at Walmart for checking ok,get_transactions_start
1163,let me know the purchases for all by grocerie stores,get_transactions_start
1164,how many banking transactions do i have this month,get_transactions_start
1165,Give me a list of transactions for my Orlando trip.,get_transactions_start
1166,Can you give me a list of expendetures made within the last 1 month?,get_transactions_start
1167,I should see the purchases i made in California,get_transactions_start
1168,Please show me the transactions i made in California,get_transactions_start
1169,i want account transaction details,get_transactions_start
1170,"hi there, currently on now wanting to view a list of all my transactions in Washington.",get_transactions_start
1171,let me know the transactions for all by Clothing stores,get_transactions_start
1172,I like to see my purchases.,get_transactions_start
1173,wanting to view a list of all my transactions in Washington,get_transactions_start
1174,I must be shown a list of my most recent purchases dating back to 30 days,get_transactions_start
1175,purchases for gasoline,get_transactions_start
1176,what were my most expensive purchases,get_transactions_start
1177,I got to see my purchases from my checking account on California restaurants last year.,get_transactions_start
1178,what transaction i did with amazon,get_transactions_start
1179,I need to see all my expenses from now to 10 days ago,get_transactions_start
1180,Display all activity for my time in Las Vegas.,get_transactions_start
1181,what went on in my account,get_transactions_start
1182,How many purchases have I made in the last month?,get_transactions_start
1183,show me my list of transactions i made at restaurants,get_transactions_start
1184,How many transactions did I have yesterday and can you print a list of them?,get_transactions_start
1185,Please give me a list of my transactions for restaurants.,get_transactions_start
1186,I got to know the expendetures for all by bar hops,get_transactions_start
1187,Can you show me the transactions I made from my business account?,get_transactions_start
1188,I must know the expenses for all by bar hops,get_transactions_start
1189,Show me all my bank activity for the week I was in Arizona.,get_transactions_start
1190,show me my expendetures on clothing from my savings last month in Ann Arbor,get_transactions_start
1191,what is list of your bank transactions?,get_transactions_start
1192,How many expenses with Home Depot have been processed today?,get_transactions_start
1193,intimate me about the credit card transactions,get_transactions_start
1194,Show me all of my credit card expendetures in the state of virginia,get_transactions_start
1195,What expenses did I do while in Minnesota?,get_transactions_start
1196,show the transactions from my credit card,get_transactions_start
1197,What are all my food transactions?,get_transactions_start
1198,i'd like to see all my purchases with puma,get_transactions_start
1199,show transactions for last 7 days,get_transactions_start
1200,Give me a list of purchases for my Orlando trip.,get_transactions_start
1201,Please pull up my transacations list.,get_transactions_start
1202,hi please elaborate more on wanting to view a list of all my expenses using credit at department stores please,get_transactions_start
1203,would like see a txn list for your bank,get_transactions_start
1204,I'd like a list of transactions from my savings account.,get_transactions_start
1205,purchases for clothing,get_transactions_start
1206,show me all expendetures in connecticut,get_transactions_start
1207,how many transactions did i do at walmart this year,get_transactions_start
1208,Could you please show me my last month of transactions?,get_transactions_start
1209,may i get the details of my shopping receipts,get_transactions_start
1210,Please show me all expenses from Carter's.,get_transactions_start
1211,I have to know the transactions for all by bar hops,get_transactions_start
1212,need wanting to view a list of all my expendetures in Washington is about what,get_transactions_start
1213,How many transactions from ATMs do I have,get_transactions_start
1214,Can i see my transactions las week from my trip to NC,get_transactions_start
1215,can you show me the expendetures from my trip to Holland,get_transactions_start
1216,when did i waste money at peter luger,get_transactions_start
1217,What transactions were made at bars?,get_transactions_start
1218,I'd like to see a list of any transactions with Tom Thumb.,get_transactions_start
1219,can you show me the transactions from my trip to Holland,get_transactions_start
1220,Show me the list of my latest purchases.,get_transactions_start
1221,Can I see a list of all my expenses within the last 10 days.,get_transactions_start
1222,What was my biggest cost in August,get_transactions_start
1223,currently wanting expenses for July 15th at Walmart for checking,get_transactions_start
1224,show me my transactions from my checking account for dairy queen in ann arbor the past 2 weeks,get_transactions_start
1225,need my expendetures displayed for my trip to Miami,get_transactions_start
1226,Can i see my purchases las week from my trip to VA,get_transactions_start
1227,Can you check all my March expendetures?,get_transactions_start
1228,thinking of currently on now wanting to view a list of all my purchases at fast food places,get_transactions_start
1229,What is my transaction history regarding the football game I went to?,get_transactions_start
1230,show transactions for last 10 days,get_transactions_start
1231,let me see my transactions from my checking account on California restaurants last year.,get_transactions_start
1232,Are you able to provide me a list of transactions made within the last 20 days?,get_transactions_start
1233,expenses for renting movies,get_transactions_start
1234,I'd like to see a list of expendetures from my checking account please.,get_transactions_start
1235,How do I see my transactions from January?,get_transactions_start
1236,what are my expendetures from grocery stores?,get_transactions_start
1237,I must see the transactions i made in California,get_transactions_start
1238,"hello, writing because wanting to view a list of all my transactions in Washington",get_transactions_start
1239,I wish to know all the transactions from my time in New York,get_transactions_start
1240,May I see all the expenses I've made in the last ten days.,get_transactions_start
1241,I have to be shown a list of my most recent expendetures dating back to 30 days now,get_transactions_start
1242,I want to see my recent transactions.,get_transactions_start
1243,I would like to see a list of purchases i made with AMD,get_transactions_start
1244,show expenses for last 5 days,get_transactions_start
1245,i need last transaction detail,get_transactions_start
1246,I should know the transactions for all by bar hops,get_transactions_start
1247,What transactions did I do while in Minnesota?,get_transactions_start
1248,transactions from last week's trip to Alaska,get_transactions_start
1249,Let me see the expenses i made in California,get_transactions_start
1250,expendetures for renting movies,get_transactions_start
1251,How many expenses today do I have with Walmart?,get_transactions_start
1252,tell me my transactions from my bar hops,get_transactions_start
1253,I'd like to see a record of the transactions I've made over the last 10 days.,get_transactions_start
1254,Show me all the transactions I made outside the US.,get_transactions_start
1255,Let me see a transaction list from my savings account,get_transactions_start
1256,Print me my purchases from now to 7 days ago.,get_transactions_start
1257,I need to see all my expendetures from now to 10 days ago,get_transactions_start
1258,I would like to see a listing of all the expendetures I've made over the past 10 days.,get_transactions_start
1259,expendetures for school,get_transactions_start
1260,when did i spend money on drinks,get_transactions_start
1261,"Display all my expendetures from when I was in Montana, please",get_transactions_start
1262,what was my last purchase,get_transactions_start
1263,help with wanting expendetures for July 15th at Walmart for checking ok,get_transactions_start
1264,what's all the items I got from the apple store,get_transactions_start
1265,Can you give me a list of my purchases from this past week?,get_transactions_start
1266,show me my transactions for grocery stores from my checking in the last 3 months in Ann Arbor,get_transactions_start
1267,What transactions were made at McDonalds.,get_transactions_start
1268,I need to see my transactions in San Francisco last month,get_transactions_start
1269,Can you show me a list of grocery purchases?,get_transactions_start
1270,I'd like to see the list of expenses from my flight to Fort Lauderdale last week off my credit card,get_transactions_start
1271,Could you please show me a list of purchases I have made with Microsoft?,get_transactions_start
1272,Give me the transactions for the past last week,get_transactions_start
1273,Show me my transactions from my checking account on California restaurants last year.,get_transactions_start
1274,"want to view a list of all my expenses in Washington, want some more info",get_transactions_start
1275,transactions from last week's trip to the UK,get_transactions_start
1276,show me list of my bank purchases,get_transactions_start
1277,show the transactions from my credit card at the tire shop,get_transactions_start
1278,Show me all purchases from checking last month,get_transactions_start
1279,show me all the deposits i have made,get_transactions_start
1280,show the all transactions from this week,get_transactions_start
1281,i want to see all my transactions from now to 15 days ago,get_transactions_start
1282,I will need a detailed list of expenses from Texas,get_transactions_start
1283,I want to see my recent expenses.,get_transactions_start
1284,show expenses for last 11 days,get_transactions_start
1285,how many purchases do I have from costco,get_transactions_start
1286,What was the list of expenses for groceries?,get_transactions_start
1287,Can I have a list of all my clothing purchases?,get_transactions_start
1288,Show me all expenses from checking last month,get_transactions_start
1289,expendetures from last week's trip to Florida,get_transactions_start
1290,I'd like to see which transactions for Dollar Tree show up on my account today.,get_transactions_start
1291,Can you show me all the expenses for Starbucks?,get_transactions_start
1292,I would like to see the list of transactions from the credit card.,get_transactions_start
1293,Show me all the transaction with grocery stores.,get_transactions_start
1294,I want to see transactions I made in New York last weekend,get_transactions_start
1295,I wish to be shown a list of my most recent expendetures dating back to 30 days,get_transactions_start
1296,show me all my expenses over the last 7 days,get_transactions_start
1297,show me my transactions for kroger from my checking in the last 3 months in Ann Arbor,get_transactions_start
1298,hi can you inform me more on my expenses from checking at fast food places,get_transactions_start
1299,Please show me the transactions that I have made within the last 2 weeks.,get_transactions_start
1300,when was my last transfer,get_transactions_start
1301,I wish to see all my expendetures from now to 10 days ago,get_transactions_start
1302,show the expendetures from my credit card at the tire shop,get_transactions_start
1303,What purchases have I made over the past year with Amazon?,get_transactions_start
1304,Can i see my purchases las week from my trip to Denever,get_transactions_start
1305,I would like to know the last set of transactions from my checking account over the last 4 months,get_transactions_start
1306,Could you provide me a list of clothing related expenses?,get_transactions_start
1307,transactions for cleaning supplies,get_transactions_start
1308,show me my transaction from my checking account mcdonalds in ann arbor the past 3 weeks,get_transactions_start
1309,what is the last thing i bought,get_transactions_start
1310,what is the transaction detail of my savings account,get_transactions_start
1311,Let me see all the transactions for Cleveland please,get_transactions_start
1312,I would like to see a list of expenses i made with AMD,get_transactions_start
1313,can you show me some transactions that happened in California,get_transactions_start
1314,What are the expendetures i have at the tire shop?,get_transactions_start
1315,I need my transaction sheet from minnesota,get_transactions_start
1316,how about need your help on wanting to see expenses from the past week,get_transactions_start
1317,hi please elaborate more on wanting to view a list of all my transactions using credit at department stores please,get_transactions_start
1318,I have to know all the purchases from my time in New York,get_transactions_start
1319,show expendetures for last 7 days,get_transactions_start
1320,Can i see my expenses las week from my trip to georgia,get_transactions_start
1321,What transactions did I make while in South Africa?,get_transactions_start
1322,I'd like to see which expendetures for Dollar Tree show up on my account today.,get_transactions_start
1323,need to view a list of all my purchases at fast food places,get_transactions_start
1324,Can you show me all my transactions so far today?,get_transactions_start
1325,tell me more on wanting purchases for July 15th at Walmart for checking,get_transactions_start
1326,what deposits and withdrawals did i have last week,get_transactions_start
1327,please give my last transaction detail,get_transactions_start
1328,interested in and wanting to view a list of all my transactions at fast food places for this,get_transactions_start
1329,I want to see all my Krogers transactions.,get_transactions_start
1330,show me my purchases from my checking account on restaurants,get_transactions_start
1331,Can you show me all my transactions?,get_transactions_start
1332,need my transactions displayed for my trip to Miami,get_transactions_start
1333,currently wanting transactions for July 15th at Walmart for checking,get_transactions_start
1334,What were my expendetures last month from my savings account?,get_transactions_start
1335,Please show me the expendetures that I have made within the last 2 weeks.,get_transactions_start
1336,What is my list for the transactions i made on restaurants,get_transactions_start
1337,browsing to view a list of all my purchases in Washington thank you,get_transactions_start
1338,show me my expendetures for kroger from my checking in the last 3 months in Ann Arbor,get_transactions_start
1339,Did I have any transactions when I was in Milwaukee last week?,get_transactions_start
1340,I'd like to see a list of transactions that I have made at restaurants.,get_transactions_start
1341,What transactions have I made over the past year with Amazon?,get_transactions_start
1342,i want to know the transaction with nike,get_transactions_start
1343,show me the statement of my bank transactions,get_transactions_start
1344,Can I have a list of all my transactions when I was in Canada?,get_transactions_start
1345,Can i see my purchases las week from my trip to Main,get_transactions_start
1346,i'd like to see all my transactions with puma,get_transactions_start
1347,I must know the transactions for all by bar hops,get_transactions_start
1348,purchases from last week's trip to Florida,get_transactions_start
1349,transactions from last week's trip to Brazil,get_transactions_start
1350,Tell me what expenses were for clothing?,get_transactions_start
1351,Give me a list of my activity when I was in Mexico.,get_transactions_start
1352,transactions for maid services,get_transactions_start
1353,I would like to know the last set of transactions from my checking account,get_transactions_start
1354,tell me what my transactions are for bars,get_transactions_start
1355,I would like to see every single transaction I have made over the past 30 days.,get_transactions_start
1356,"Can I see expendetures for Toledo, OH?",get_transactions_start
1357,I have to know all the expenses from my time in New York,get_transactions_start
1358,show me all expenses in connecticut,get_transactions_start
1359,i want to see my transactions from all restaurants,get_transactions_start
1360,show me the cheapest thing I bought last week,get_transactions_start
1361,need to view a list of all my transactions at fast food places,get_transactions_start
1362,i want my transaction details,get_transactions_start
1363,I was on now wanting to see purchases from the past week now,get_transactions_start
1364,Show me all purchases that I've made with Target.,get_transactions_start
1365,What expenses did I make while travelling in Europe?,get_transactions_start
1366,show me the first 5 expenses in new york in august,get_transactions_start
1367,I like to see my transactions.,get_transactions_start
1368,Would you show all of the expenses for New York.,get_transactions_start
1369,transactions from last week's trip to Canada,get_transactions_start
1370,What was the list of expendetures for groceries?,get_transactions_start
1371,expenses from last week's trip to Mexico,get_transactions_start
1372,show me the most expensive things I bouth,get_transactions_start
1373,Please give me all of the transactions from last Friday.,get_transactions_start
1374,Can you show me all the activity I had with coffee shops?,get_transactions_start
1375,What expenses did I make in Texas?,get_transactions_start
1376,Can you show me all transaction there with McDonald's?,get_transactions_start
1377,I need to see all of my Amazon transactions.,get_transactions_start
1378,expenses for dining out,get_transactions_start
1379,purchases for cleaning supplies,get_transactions_start
1380,what expenses have i made at retail stores?,get_transactions_start
1381,expenses for subscription services,get_transactions_start
1382,Can you show me all my expendetures?,get_transactions_start
1383,Can i see my expenses las week from my trip to Main,get_transactions_start
1384,"thinking of wanting to see purchases from the past week, want to learn more thanks",get_transactions_start
1385,has comcast charged me?,get_transactions_start
1386,has old navy charged my account,get_transactions_start
1387,I wish to see my transactions from my checking account on California restaurants last year.,get_transactions_start
1388,show me the list transactions i have made with amazon,get_transactions_start
1389,expendetures from last week's trip to Canada,get_transactions_start
1390,Can you tell me the expendetures I have from my savings account?,get_transactions_start
1391,"if you can, wanting to view all from walmart is about what need help",get_transactions_start
1392,hi wanting transactions for July 15th at Walmart for checking is what I am currently looking for also,get_transactions_start
1393,show expendetures for last 30 days please,get_transactions_start
1394,Can you show me a list of grocery transactions?,get_transactions_start
1395,tell me my purchases from my sports event,get_transactions_start
1396,show expendetures for last 8 days,get_transactions_start
1397,I want to see all the transactions that I made during my vacation to Brazil last week.,get_transactions_start
1398,thinking of wanting purchases for July 15th at Walmart for checking concerns what else,get_transactions_start
1399,Show me the transactions i made in Texas.,get_transactions_start
1400,can you show me the expenses from my trip to Holland,get_transactions_start
1401,expenses for shoes,get_transactions_start
1402,If it is not a problem I would like to see my transaction history from the last 90 days.,get_transactions_start
1403,Can you give me a list of my expendetures from this past week?,get_transactions_start
1404,I need to see any transaction I've made with Amazon.,get_transactions_start
1405,i want to see all my purchases from now to 50 days ago,get_transactions_start
1406,what are the transactions i made with amazon,get_transactions_start
1407,show me my transactions from my checking account on restaurants in California,get_transactions_start
1408,Show me all my purchases for the last three weeks.,get_transactions_start
1409,need wanting to view a list of all my purchases in Washington is about what,get_transactions_start
1410,Please show me all transactions from Carter's.,get_transactions_start
1411,i need the details of transaction i shopped from amazon,get_transactions_start
1412,Show all transactions from Detroit.,get_transactions_start
1413,when was the last time i spend money at rps,get_transactions_start
1414,expenses from last week's trip to Brazil,get_transactions_start
1415,transactions for clothing,get_transactions_start
1416,how much money did i spend during my last debit transaction,get_transactions_start
1417,Give me a list of expenses for my Orlando trip.,get_transactions_start
1418,I wish to see all my transactions from now to 10 days ago,get_transactions_start
1419,What expendetures did I make in Texas?,get_transactions_start
1420,What expenses were made at bars?,get_transactions_start
1421,Can you show me all the transactions for Starbucks?,get_transactions_start
1422,transactions for renting movies,get_transactions_start
1423,I must see my expenses from my checking account on California restaurants last year.,get_transactions_start
1424,wanna see the transactions i made in California,get_transactions_start
1425,Can i see my transactions las week from my trip to Main,get_transactions_start
1426,I was on now wanting to see transactions from the past week now,get_transactions_start
1427,Please give me all of the purchases from last Friday.,get_transactions_start
1428,thinking of currently on now wanting to view a list of all my transactions at fast food places,get_transactions_start
1429,show me my transactions at grocery stores from my checking in the last 3 months,get_transactions_start
1430,i want to view a list of all my expendetures,get_transactions_start
1431,transactions for school,get_transactions_start
1432,i want to know all the expenses from my time in New York,get_transactions_start
1433,show me my transactions on clothing from my savings last month in Ann Arbor,get_transactions_start
1434,I have to know all the expendetures from my time in New York,get_transactions_start
1435,Show the expendetures from my checking account.,get_transactions_start
1436,I'd like to see which purchases for Dollar Tree show up on my account today.,get_transactions_start
1437,Can you tell me the transactions I have from my savings account?,get_transactions_start
1438,What is my transaction history from the International store for the past month?,get_transactions_start
1439,show me my purchases for grocery stores from my checking in the last 3 months in Vegas,get_transactions_start
1440,Print me my transactions from now to 7 days ago.,get_transactions_start
1441,What were my last 3 purchases?,get_transactions_start
1442,show purchases for last 30 days please,get_transactions_start
1443,I'd like to see a list of expenses from my checking account please.,get_transactions_start
1444,i want to see all my expendetures from now to 50 days ago,get_transactions_start
1445,Show me my transaction list,get_transactions_start
1446,I need my transaction list for 5 days,get_transactions_start
1447,show purchases for last 10 days,get_transactions_start
1448,Please show me my activity from Texas.,get_transactions_start
1449,show my expendetures for last 12 days,get_transactions_start
1450,Would you show all of the transactions for the past month,get_transactions_start
1451,Show me transcations made in Maine,get_transactions_start
1452,can you show me my activity from in miami,get_transactions_start
1453,Show me all transactions I made at Kohls.,get_transactions_start
1454,I gotta know all the transactions from my time in New York,get_transactions_start
1455,Show me my transaction list for the past 10 days,get_transactions_start
1456,what was the last transaction i had at the old mill restaurant,get_transactions_start
1457,transaction detail in texas,get_transactions_start
1458,expenses from last week's trip to Uganda,get_transactions_start
1459,show me all my expenses in alabama,get_transactions_start
1460,Can i see my transactions las week from my trip to georgia,get_transactions_start
1461,provide me the purchases list of this Year,get_transactions_start
1462,expenses from last week's trip to Africa,get_transactions_start
1463,what are my expenses from grocery stores?,get_transactions_start
1464,expendetures from last week's trip to Chile,get_transactions_start
1465,Can you show me my recent transactions from the club I went to last night?,get_transactions_start
1466,hi wanting expenses for July 15th at Walmart for checking is what I am currently looking for also,get_transactions_start
1467,What expendetures were made at bars?,get_transactions_start
1468,What are the transactions i have at the tire shop?,get_transactions_start
1469,Could you please show me every transaction I made using my credit card at Taco Bell restaurants last year?,get_transactions_start
1470,please elaborate more on my expendetures using credit at department stores,get_transactions_start
1471,Show the purchases from my trip to California.,get_transactions_start
1472,what transactions have i made at fast food restaurants?,get_transactions_start
1473,Show me a list of my bank purchases,get_transactions_start
1474,show transactions for last 14 days,get_transactions_start
1475,when did i spend money on karaoke,get_transactions_start
1476,list of all my transactions using credit at department stores,get_transactions_start
1477,show me my most recent payments,get_transactions_start
1478,I would like to know the last set of purchases from my checking account over the last 4 months,get_transactions_start
1479,Can i see my purchases las week from my trip to georgia,get_transactions_start
1480,show transactions for last 3 days,get_transactions_start
1481,hello. browsing for an answer wanting to view a list of all my transactions?,get_transactions_start
1482,show transactions for last 8 days,get_transactions_start
1483,Show me my transactions in California,get_transactions_start
1484,what are the fees that I got charged in my account,get_transactions_start
1485,Show me my transactions from my checking account on georgia restaurants last year.,get_transactions_start
1486,Can you tell me the expenses I have from my savings account?,get_transactions_start
1487,let me know the purchases for all by market hops,get_transactions_start
1488,can you inform me more on wanting transactions for July 15th at Walmart for checking too,get_transactions_start
1489,Can i see my expenses las week from my trip to california,get_transactions_start
1490,let me know the transactions for all by bar hops,get_transactions_start
1491,I would like to be shown a list of my most recent expendetures dating back to 30 days from my savings account,get_transactions_start
1492,what is last withdrawal,get_transactions_start
1493,i like to know the transactions list of last month,get_transactions_start
1494,what transactions have i made at retail stores?,get_transactions_start
1495,when's the last time I bought something at chick fil a,get_transactions_start
1496,what is the last check that cleared in my bank account.,get_transactions_start
1497,Please pull up last month's purchases.,get_transactions_start
1498,please elaborate more on wanting to view a list of all my transactions from checking at fast food places,get_transactions_start
1499,"thinking of wanting to see expenses from the past week, want to learn more thanks",get_transactions_start
1500,I was on now wanting to view a list of all my transactions from checking at fast food places?,get_transactions_start
1501,What transactions did I do while I was in Illinois?,get_transactions_start
1502,i want to see all my transactions from now to 10 days ago from my checking,get_transactions_start
1503,show me my expenses on clothing from my savings last month in Ann Arbor,get_transactions_start
1504,show me all the checks i have written,get_transactions_start
1505,What transactions did I make while travelling in Europe?,get_transactions_start
1506,thinking of interested in and wanting transactions for July 15th at Walmart for checking.,get_transactions_start
